date,prev_close,open,high,low,close,volume,value
20161025,6539.4661,6543.4668,6563.5233,6536.9443,6563.3539,8328890400,93591772800.0
20161026,6563.3539,6561.1581,6561.2466,6511.657,6530.3898,8085800000,91775718300.0
20161027,6530.3898,6522.8868,6529.4679,6488.3634,6517.3594,6665112500,76110917500.0
20161028,6517.3594,6512.038,6536.8349,6455.1476,6455.8349,7065542400,79644536500.0
20161031,6455.8349,6441.4348,6460.7728,6408.2731,6452.2058,6021986500,71708929400.0
20161101,6452.2058,6456.9993,6508.3642,6450.0204,6507.95,6251377600,72200040500.0
20161102,6507.95,6494.9803,6506.7756,6450.0506,6455.1295,7229906800,82898303200.0
20161103,6455.1295,6442.3549,6521.0003,6436.9074,6483.7322,7712805600,88135206400.0
20161104,6483.7322,6482.6008,6502.7409,6449.5605,6462.5928,7062657200,81619103500.0
20161107,6462.5928,6461.0006,6487.0601,6437.74,6468.8171,6838073300,75793266900.0
20161108,6468.8171,6487.6487,6518.1891,6476.4443,6503.1781,7199767300,77969564600.0
20161109,6503.1781,6504.4117,6507.8648,6380.5711,6453.5718,8805591600,96507363300.0
20161110,6453.5718,6501.6388,6538.7419,6501.6388,6536.9651,9011242700,95541191100.0
20161111,6536.9651,6539.3598,6584.4097,6527.4524,6583.8864,10972673200,116935221600.0
20161114,6583.8864,6568.6594,6624.2056,6566.0537,6615.0071,12665683300,129047120500.0
20161115,6615.0071,6622.878,6641.0354,6602.2812,6640.4616,10511091200,107784604500.0
20161116,6640.4616,6647.5287,6658.4279,6630.1238,6644.1878,9495718000,102166419600.0
20161117,6644.1878,6633.3099,6646.309,6596.896,6636.469,8447601000,87631684900.0
20161118,6636.469,6632.627,6643.9408,6592.8358,6602.3265,8076324900,86273820300.0
20161121,6602.3265,6597.1749,6635.8918,6591.9754,6611.5399,7871181200,90573815900.0
20161122,6611.5399,6619.8503,6661.5407,6617.0696,6661.246,9147255300,101093009400.0
20161123,6661.246,6668.2484,6676.6675,6617.7752,6631.1733,9348139900,103280558500.0
20161124,6631.1733,6635.2237,6656.9659,6607.0277,6623.0489,9297762000,103974963000.0
20161125,6623.0489,6620.2193,6652.916,6531.3667,6652.8177,8832208000,99238944700.0
20161128,6652.8177,6667.2656,6692.1415,6650.9193,6670.8035,9574046100,106720390300.0
20161129,6670.8035,6658.3551,6681.8812,6619.0387,6620.7949,10144690600,112700270200.0
20161130,6620.7949,6605.3611,6615.921,6568.7956,6585.5776,8110983800,90817480200.0
20161201,6585.5776,6593.5939,6624.8511,6593.0738,6624.4657,7731728600,87060740100.0
20161202,6624.4657,6617.8743,6623.7939,6520.9745,6520.9745,8056105200,90561435300.0
20161205,6520.9745,6462.2556,6522.5969,6451.0843,6486.0173,6644417300,75152907700.0
20161206,6486.0173,6496.1638,6514.0316,6484.979,6490.8897,5169115400,61188034800.0
20161207,6490.8897,6493.0029,6558.2433,6481.9199,6558.0247,5891891200,67225910500.0
20161208,6558.0247,6561.7215,6562.6574,6522.9608,6527.4338,5659155900,67111648900.0
20161209,6527.4338,6519.3949,6534.8963,6500.2146,6513.9155,5919285700,71454300800.0
20161212,6513.9155,6512.959,6519.628,6241.6118,6249.0784,9417565700,106765152900.0
20161213,6249.0784,6235.5581,6292.8031,6190.389,6278.1793,6482157800,75462330100.0
20161214,6278.1793,6269.0808,6299.0401,6216.9508,6239.4989,6850199100,80471904000.0
20161215,6239.4989,6216.1446,6310.7437,6211.2733,6280.3981,6421841200,74576602500.0
20161216,6280.3981,6279.2765,6329.1906,6273.0011,6318.5239,6173335500,70758164500.0
20161219,6318.5239,6319.8574,6330.3823,6297.3666,6320.7324,6216941300,69676953700.0
20161220,6320.7324,6314.6113,6315.5363,6275.3113,6300.6383,6049362000,65029967500.0
20161221,6300.6383,6311.0581,6348.376,6311.0581,6347.6058,6318491700,70055890000.0
20161222,6347.6058,6341.2009,6350.2726,6313.8578,6341.7879,5961720700,64478216400.0
20161223,6341.7879,6339.3466,6343.8546,6277.66,6281.9966,5678981200,63740002900.0
20161226,6281.9966,6260.3396,6295.236,6194.2656,6294.7546,5443867800,60851841600.0
20161227,6294.7546,6291.6466,6311.0357,6284.0401,6288.8594,4896591400,56019738400.0
20161228,6288.8594,6288.7324,6295.8909,6257.1041,6270.2395,4818363600,54482379100.0
20161229,6270.2395,6261.8676,6286.7413,6242.9837,6252.6076,4466046300,50642992400.0
20161230,6252.6076,6255.6201,6275.5494,6241.7188,6263.6256,4640382200,53873289100.0
20170103,6263.6256,6273.8182,6320.9526,6273.7528,6320.7626,4824251400,56873577600.0
20170104,6320.7626,6321.7473,6395.0039,6314.1267,6394.6694,6626860800,77932386700.0
